variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M78.919T361.71	hilic			0.147542450079285	0.0827940445308489	0	0.0280515461042299	0.762778363158352	0	0.0431104673143672	0.810881959027676	0	0.0910435502050895	0.443631176709874	0	1.4684903545658	0.478945526203895	E	E	E	E	E	E	0	0								NA			M79T362	78.9189939471061	361.709771772755		[M-H]- 79.9252	6	1	@M80.9169T361.36|-34S|-41K|-37Cl
M80.9169T361.36	hilic			0.146064641113643	0.0818613060220372	0	0.026874417569438	0.769864412672527	0	0.0453327093956091	0.802117782367763	0	0.0896859138000572	0.446731821609878	0	1.49140657249026	0.531641189190711	E	E	E	E	E	E	0	0								NA			M81T361	80.9169234635685	361.358921834662		[M-H]- 81.9231	6	1	@M78.919T361.71|+34S|+41K|+37Cl|@M142.9174T362.71|-(H2O)-(CO2)
M140.9195T362.54	hilic			0.0866334689227024	0.299445741678174	0	-0.0127178089766566	0.970203551055586	0	-0.000706986368516738	0.993607239354593	0	0.00672618231321565	0.954272074221527	0	1.01626310290105	0.0342250756672887	E	E	E	E	E	E	0	0								NA			M141T363	140.919507466115	362.535162945908		[M-H]- 141.93	6	1	@M141.9227T362.42|-13C|@M142.9174T362.71|-34S|-41K|-37Cl|@M143.9207T362.55|-13C-37Cl|-13C-34S
M141.9227T362.42	hilic			0.0780786574384074	0.363953356571949	0	-0.0241688774113484	0.902984855725882	0	0.00374273871033992	0.982366527561798	0	0.00789121178520347	0.946998014042683	0	0.830238987516221	0.0329903344247529	E	E	E	E	E	E	0	0								NA			M142T362	141.922712492544	362.420073223598			6	1	@M140.9195T362.54|+13C|@M142.9174T362.71|-15N|@M143.9207T362.55|-34S|-41K|-37Cl|@M144.9217T362.11|-13C-37Cl|-13C-34S
M143.9207T362.55	hilic			0.0428934159663292	0.649230407551439	0	-0.0126893072208638	0.959226570261282	0	-0.0120033076616224	0.932774724104231	0	0.0128374091377665	0.910974120845675	0	0.441526381496706	0.363710152725155	E	E	E	E	E	E	0	0								NA			M144T363	143.920699372506	362.547246634926		[M+2Cl]2- 217.911	6	1	@M140.9195T362.54|+13C+37Cl|+13C+34S|@M141.9227T362.42|+34S|+41K|+37Cl|@M142.9174T362.71|+13C|@M144.9217T362.11|-13C|-15N
M144.9217T362.11	hilic			0.0486026559421955	0.5769701015923	0	-0.0372414353286921	0.771858267662059	0	-0.00715303215777041	0.963650218663067	0	-0.00829879061793903	0.944482152972413	0	0.613174295779989	0.235928650334007	E	E	E	E	E	E	0	0								NA			M145T362	144.921681754469	362.106473896282		[M+2Cl]2- 219.909	6	1	@M141.9227T362.42|+13C+37Cl|+13C+34S|@M142.9174T362.71|+18O|+13C2|@M143.9207T362.55|+13C|+15N
M79.9575T159.61	hilic			0.43777366588354	0.0313781574596177	1	0.785069358771569	0.000528005002177702	1	0.221291952695172	0.670762924457584	0	1.0500771067709	1.42307326877423e-05	1	1.11203313313648	0.52224993536235	E	E	E	E	E	E	0	0								NA			M80T160	79.9574807487214	159.608692219194			1493	2	@M212.9907T164.84|-(C3H6O3)-(CHNO)
M210.9949T161.4	hilic			0.391506557093496	0.0745044616352872	0	0.881218529412077	0.000562249430327445	1	0.204170897144419	0.713418415363449	0	1.11752692740044	4.83057174383105e-05	1	0.948800093974655	0.446902251575138	E	E	E	E	E	E	0	0								NA			M211T161	210.994926318264	161.397324322741			1493	2	@M212.9907T164.84|-34S|-41K|-37Cl
M80.9653T634.94	hilic			3.67254387856515	0.0853741972186139	0	0.660102218977888	0.777942623512923	0	2.90992903368318	0.490289297203726	0	1.08676237737953	0.73385696633732	0	1.13405604593299	1.5651872099894	E	E	C	E	E	E	0	0								NA			M81T635	80.9652901742976	634.938111142905			1278	3	@M159.9906T635.21|-(NH3)-(CO2)-(H2O)
M158.9872T635.28	hilic			2.61096457739868	0.534626303628006	0	-0.449639840569171	0.976572149219402	0	-0.707954757370757	0.925680031846444	0	-0.138409320618694	0.984185159830461	0	0.513100460075855	0.23400874381711	E	E	B	E	E	E	0	0								NA			M159T635	158.98723030323	635.275490736612	[131][M]-		1286	3	@M95.0252T635.2|+(SO2)|@M159.9906T635.21|-13C
